TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
BaseVAVReheatCoil-25,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,3635.775,3635.775,0.18172,-99996,-99996,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys5-3,CorridorFlr3 Thermal Zone,18437.65,18437.65,0.92153,-99996,-99996,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,3059.388,3059.388,0.15291,-99996,-99996,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,1948.262,1948.262,0.09738,-99996,-99996,,,
BaseVAVReheatCoil-22,BaseVAVBox CoilHtg-22,HotWater,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,3707.113,3707.113,0.18529,-99996,-99996,,,
BaseVAVReheatCoil-26,BaseVAVBox CoilHtg-23,HotWater,BaseAirSys5-3,RearStorageFlr3 Thermal Zone,3707.613,3707.613,0.18531,-99996,-99996,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-24,HotWater,BaseAirSys5-4,CorridorFlr4 Thermal Zone,34670.65,34670.65,1.73287,-99996,-99996,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-25,HotWater,BaseAirSys5-4,FrontStairsFlr4 Thermal Zone,5787.363,5787.363,0.28926,-99996,-99996,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-26,HotWater,BaseAirSys5-4,FrontStorageFlr4 Thermal Zone,3632.188,3632.188,0.18154,-99996,-99996,,,
BaseVAVReheatCoil-23,BaseVAVBox CoilHtg-27,HotWater,BaseAirSys5-4,RearStairsFlr4 Thermal Zone,6310.612,6310.612,0.31541,-99996,-99996,,,
BaseVAVReheatCoil-27,BaseVAVBox CoilHtg-28,HotWater,BaseAirSys5-4,RearStorageFlr4 Thermal Zone,6311.25,6311.25,0.31544,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE HotSmlCECStd16070012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BaseSys5 Fan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,8606.968,1663.581,0.6,StaticPressure,3.5,10,InAirStream,0.917
BaseSys5 Fan-2,BaseSys5 Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,1246.519,319.971,0.5,StaticPressure,3,1.5,InAirStream,0.865
BaseSys5 Fan-3,BaseSys5 Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,1230.96,319.971,0.5,StaticPressure,3,1.5,InAirStream,0.865
BaseSys5 Fan-4,BaseSys5 Fan-4,VariableSpeedDrive,BaseAirSys5-4,UNDEFINED,1377.792,320.159,0.5,StaticPressure,3,1.5,InAirStream,0.865
GuestRoom101_FPFC Fan,BaseSys2 Fan,ConstantVolume,BaseZnSys2,UNDEFINED,148.84,-99996,0.5,PowerPerUnitFlow,1.273,0.083,InAirStream,0.855
GuestRoom102_FPFC Fan,BaseSys2 Fan-2,ConstantVolume,BaseZnSys2-2,UNDEFINED,152,-99996,0.5,PowerPerUnitFlow,1.273,0.083,InAirStream,0.855
GuestRoom103_FPFC Fan,BaseSys2 Fan-3,ConstantVolume,BaseZnSys2-3,UNDEFINED,145.31,-99996,0.5,PowerPerUnitFlow,1.273,0.083,InAirStream,0.855
